longitude,latitude,index,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,LAI
-67.07693277,18.02119275,110,0.0445,0.083,0.0508,0.1268,0.3693,0.444,0.4598,0.4873,0.2529,0.126,1.98
-67.07693277,18.02119275,111,0.0633,0.0952,0.0734,0.1395,0.3347,0.3969,0.3873,0.4298,0.2533,0.1313,0.86
-67.07693277,18.02119275,112,0.0392,0.0805,0.0435,0.1174,0.3914,0.4835,0.4648,0.5179,0.2381,0.1096,0.771
-67.07693277,18.02119275,113,0.049,0.0837,0.0645,0.1269,0.2882,0.3397,0.3454,0.3791,0.2365,0.1231,1.85
-67.07693277,18.02119275,114,0.0429,0.0752,0.0511,0.1104,0.296,0.3548,0.3558,0.3816,0.2352,0.1182,1.71
-67.07693277,18.02119275,115,0.0608,0.0988,0.0647,0.1378,0.3901,0.4923,0.4737,0.5187,0.2868,0.1453,0.99
-67.07693277,18.02119275,116,0.0466,0.0703,0.0546,0.1106,0.2584,0.3109,0.3047,0.3324,0.2272,0.1215,1.97
-67.07693277,18.02119275,117,0.0432,0.0728,0.0534,0.1185,0.2703,0.3202,0.3144,0.3537,0.2536,0.1325,0.56
-67.07693277,18.02119275,118,0.0452,0.0716,0.047,0.1079,0.2855,0.3571,0.3433,0.3802,0.2555,0.1315,1.4
-67.07693277,18.02119275,119,0.0427,0.0714,0.0448,0.1054,0.2917,0.3545,0.3554,0.3774,0.2413,0.122,1.81
-67.07693277,18.02119275,120,0.0432,0.0737,0.0622,0.1196,0.2665,0.3054,0.3067,0.3378,0.2666,0.1414,0.344
-67.07693277,18.02119275,121,0.045,0.0706,0.0602,0.1184,0.2481,0.2936,0.2915,0.3224,0.2491,0.1351,0.88
-67.07693277,18.02119275,122,0.0539,0.0798,0.0783,0.1353,0.249,0.2799,0.2905,0.313,0.2938,0.1647,0.99
-67.07693277,18.02119275,123,0.058,0.0917,0.1083,0.159,0.2389,0.2677,0.2853,0.3086,0.3416,0.2052,0.45
-67.07693277,18.02119275,124,0.074,0.1009,0.1156,0.1691,0.237,0.2752,0.2815,0.3069,0.3477,0.2209,0.5
-67.07693277,18.02119275,125,0.0682,0.0935,0.1001,0.1509,0.2409,0.2833,0.282,0.3105,0.3229,0.1989,0.366
-67.07693277,18.02119275,126,0.0759,0.1045,0.1059,0.1605,0.2608,0.302,0.3076,0.3375,0.3432,0.2047,0.511
-67.07693277,18.02119275,127,0.0808,0.1158,0.1056,0.1808,0.3217,0.35,0.3702,0.3959,0.3448,0.1895,0.876
-67.07693277,18.02119275,128,0.0675,0.1017,0.0781,0.1445,0.3299,0.3829,0.3911,0.4183,0.2945,0.1557,1.16
-67.07693277,18.02119275,129,0.0615,0.0834,0.0817,0.1326,0.2176,0.2483,0.2624,0.281,0.2671,0.1451,0.94
-67.07693277,18.02119275,130,0.0562,0.0967,0.0662,0.1454,0.3641,0.4272,0.4289,0.4641,0.2923,0.1463,1.67
-67.07693277,18.02119275,131,0.0461,0.0878,0.0708,0.1461,0.3276,0.3845,0.3838,0.415,0.2842,0.1508,0.91
-67.07693277,18.02119275,132,0.0408,0.0668,0.0601,0.11,0.2135,0.2565,0.2564,0.2886,0.2013,0.1123,1.55
-67.07693277,18.02119275,133,0.0561,0.0945,0.0845,0.1549,0.2963,0.3438,0.3472,0.3813,0.2881,0.1602,1.47
-67.07693277,18.02119275,134,0.073,0.1096,0.0838,0.1565,0.3534,0.4364,0.4384,0.4729,0.2982,0.1536,2.04
-67.07693277,18.02119275,135,0.0557,0.0881,0.0568,0.1301,0.3565,0.4405,0.4304,0.471,0.2564,0.1237,0.51
-67.07693277,18.02119275,136,0.0927,0.1094,0.1003,0.1352,0.2187,0.251,0.2318,0.272,0.1862,0.1342,1.06
-67.07693277,18.02119275,137,0.0405,0.0731,0.0678,0.1306,0.2569,0.2949,0.2979,0.3436,0.259,0.1405,0.49
-67.07693277,18.02119275,138,0.0436,0.0719,0.0579,0.1192,0.2685,0.3113,0.3209,0.3469,0.2373,0.1272,1.15
-67.07693277,18.02119275,139,0.0869,0.1104,0.1208,0.1849,0.2797,0.3297,0.3311,0.3679,0.3764,0.2309,0.336353568
-67.07693277,18.02119275,140,0.0792,0.0883,0.078,0.1201,0.1962,0.2239,0.2008,0.2456,0.1618,0.096,0.695366968
-67.07693277,18.02119275,141,0.0553,0.0834,0.0651,0.1296,0.2852,0.3393,0.335,0.3623,0.2818,0.1539,1.18738943
-67.07693277,18.02119275,142,0.0852,0.1205,0.1007,0.1731,0.3277,0.3762,0.3738,0.4037,0.2947,0.1691,1.357874367
-67.07693277,18.02119275,143,0.049,0.0858,0.06,0.1317,0.3321,0.3879,0.3952,0.4233,0.281,0.1417,0.427854309
-67.07693277,18.02119275,144,0.0695,0.102,0.0792,0.1544,0.334,0.4077,0.404,0.4334,0.3124,0.1679,1.151989441
-67.07693277,18.02119275,145,0.0706,0.1127,0.1123,0.1926,0.3278,0.3902,0.39,0.4266,0.3592,0.2102,0.67709662
